CMDLINE /home/jhgalino/Documents/Code/Python/MPv2/bin/python MPG.py
MEM 1.570312 1595491357.9527
MEM 14.414062 1595491358.0532
MEM 14.414062 1595491358.1540
MEM 14.414062 1595491358.2548
MEM 14.414062 1595491358.3556
MEM 14.414062 1595491358.4564
MEM 14.414062 1595491358.5568
MEM 14.414062 1595491358.6572
MEM 14.414062 1595491358.7580
MEM 14.414062 1595491358.8589
MEM 14.414062 1595491358.9598
MEM 14.414062 1595491359.0603
MEM 14.414062 1595491359.1607
MEM 14.414062 1595491359.2612
MEM 14.414062 1595491359.3615
MEM 14.414062 1595491359.4623
MEM 14.414062 1595491359.5627
MEM 14.414062 1595491359.6639
MEM 14.414062 1595491359.7655
MEM 14.414062 1595491359.8663
MEM 14.414062 1595491359.9671
MEM 14.414062 1595491360.0680
MEM 14.414062 1595491360.1689
MEM 14.414062 1595491360.2696
MEM 14.414062 1595491360.3704
MEM 14.414062 1595491360.4713
MEM 14.414062 1595491360.5721
MEM 14.414062 1595491360.6729
MEM 14.414062 1595491360.7737
MEM 14.414062 1595491360.8745
MEM 14.414062 1595491360.9752
MEM 14.414062 1595491361.0761
MEM 14.414062 1595491361.1770
MEM 14.414062 1595491361.2778
MEM 14.414062 1595491361.3787
MEM 14.414062 1595491361.4797
MEM 14.414062 1595491361.5805
MEM 14.414062 1595491361.6814
MEM 14.414062 1595491361.7823
MEM 14.414062 1595491361.8832
MEM 14.414062 1595491361.9841
MEM 14.414062 1595491362.0849
MEM 14.414062 1595491362.1858
MEM 14.414062 1595491362.2867
MEM 14.414062 1595491362.3875
MEM 14.414062 1595491362.4880
MEM 14.414062 1595491362.5888
MEM 14.414062 1595491362.6896
MEM 14.414062 1595491362.7904
MEM 14.414062 1595491362.8913
MEM 14.414062 1595491362.9922
MEM 14.414062 1595491363.0933
MEM 14.414062 1595491363.1942
MEM 14.414062 1595491363.2951
MEM 14.414062 1595491363.3960
MEM 14.414062 1595491363.4968
MEM 14.414062 1595491363.5977
MEM 14.414062 1595491363.6987
MEM 14.414062 1595491363.7994
MEM 14.414062 1595491363.9002
MEM 14.414062 1595491364.0011
MEM 14.414062 1595491364.1020
MEM 14.414062 1595491364.2027
MEM 14.414062 1595491364.3030
MEM 14.414062 1595491364.4034
MEM 14.414062 1595491364.5038
MEM 14.414062 1595491364.6045
MEM 14.414062 1595491364.7055
MEM 14.414062 1595491364.8062
MEM 14.414062 1595491364.9070
MEM 14.414062 1595491365.0080
MEM 14.414062 1595491365.1090
MEM 14.414062 1595491365.2098
MEM 14.414062 1595491365.3106
MEM 14.414062 1595491365.4115
MEM 14.414062 1595491365.5124
MEM 14.414062 1595491365.6132
MEM 14.414062 1595491365.7140
MEM 14.414062 1595491365.8149
MEM 14.414062 1595491365.9160
MEM 14.414062 1595491366.0168
MEM 14.414062 1595491366.1177
MEM 14.414062 1595491366.2184
MEM 14.414062 1595491366.3191
MEM 14.414062 1595491366.4200
MEM 14.414062 1595491366.5207
MEM 14.414062 1595491366.6215
MEM 14.414062 1595491366.7224
MEM 14.414062 1595491366.8231
MEM 14.414062 1595491366.9241
MEM 14.414062 1595491367.0251
MEM 14.414062 1595491367.1260
MEM 14.414062 1595491367.2267
MEM 14.414062 1595491367.3276
MEM 14.414062 1595491367.4284
MEM 14.414062 1595491367.5292
MEM 14.414062 1595491367.6301
MEM 14.414062 1595491367.7310
MEM 14.414062 1595491367.8319
